study_hours,attendance,previous_score,sleep_hours,assignment_completion,extracurricular,final_score
9.5,56.09,85.88,4.65,75.28,0,87.17
8.65,59.06,80.73,5.28,65.59,0,83.42
3.23,84.06,47.86,5.78,76.93,0,67.33
5.05,59.07,81.44,7.37,44.89,1,69.33
2.16,76.26,82.29,4.31,45.27,0,64.62
9.59,85.45,76.22,5.05,50.31,1,87.39
6.46,55.34,82.14,8.05,71.08,1,78.79
3.06,78.37,86.53,4.73,52.84,1,67.54
7.05,62.83,73.75,5.71,57.0,1,81.55
6.56,98.15,44.87,8.32,64.02,1,76.74
4.22,74.18,66.82,4.77,88.71,1,73.79
2.02,90.3,44.27,4.41,40.83,1,50.07
7.04,77.51,62.41,6.42,78.96,0,71.56
5.68,52.17,62.39,5.51,80.13,0,64.49
7.95,81.66,43.63,6.82,87.92,1,76.4
5.68,97.57,59.19,8.02,95.97,0,76.6
8.67,80.08,46.1,4.69,41.21,0,67.0
5.97,90.96,84.45,6.9,49.23,1,75.65
6.05,94.21,92.12,6.53,93.17,0,85.49
8.89,61.4,43.98,4.72,67.51,1,71.79
4.63,60.6,92.53,7.12,73.88,0,80.26
2.21,80.55,68.74,5.37,79.78,1,66.14
1.26,70.55,56.48,6.44,80.74,1,56.72
7.8,91.99,44.23,4.41,95.9,0,70.26
6.58,95.0,67.53,6.3,99.82,0,82.02
7.34,67.67,83.7,5.53,83.21,1,86.53
2.92,61.84,78.89,8.11,57.23,1,73.74
2.23,89.03,42.76,4.28,92.79,1,58.7
1.13,63.74,44.01,6.09,42.95,0,41.95
4.16,91.13,62.16,6.29,53.86,0,68.96
6.31,71.19,56.24,7.63,93.84,0,71.91
4.53,83.38,52.78,6.87,55.37,0,63.01
4.94,54.78,55.46,7.34,53.24,1,69.0
9.14,81.19,84.19,7.89,48.29,1,92.93
4.13,72.59,91.11,8.31,91.55,1,85.57
5.63,79.33,62.28,5.57,70.0,1,67.5
8.05,58.4,89.84,6.69,80.49,0,86.21
4.57,86.84,57.68,8.2,54.34,1,75.68
6.6,93.14,66.2,8.95,85.48,1,85.04
8.76,60.84,52.43,8.45,85.6,0,83.34
9.55,54.79,75.23,5.86,58.76,0,83.92
2.32,51.18,93.84,4.98,64.64,1,74.71
9.34,82.1,73.19,6.45,52.58,0,84.16
5.43,80.35,59.68,7.71,98.59,1,81.23
3.32,77.33,75.63,6.46,78.74,0,77.41
5.13,61.6,46.76,6.42,96.07,0,67.34
9.82,69.55,88.88,8.19,58.2,1,90.58
5.43,79.72,67.67,5.81,86.91,0,73.17
3.96,74.84,64.71,8.3,85.95,1,75.81
6.7,99.39,72.22,6.03,81.5,0,78.02
3.16,56.82,74.36,5.64,97.94,0,67.87
1.68,84.76,43.95,6.27,63.61,0,59.87
2.16,70.22,77.54,7.81,47.84,0,56.71
2.15,71.41,53.31,4.63,80.3,0,63.45
2.37,85.88,79.27,4.98,83.76,1,77.36
2.25,84.62,85.24,8.76,74.5,0,74.85
6.77,99.56,84.22,4.88,52.41,1,85.66
2.64,56.42,70.39,6.84,70.27,0,63.32
4.11,55.21,68.61,6.9,58.73,1,71.41
9.07,86.22,47.86,6.45,65.65,0,80.12
5.27,78.92,82.64,7.22,78.71,1,76.92
7.01,63.71,54.93,5.15,84.71,1,74.27
2.55,53.97,67.32,6.76,53.93,0,58.15
2.73,54.28,55.64,5.86,64.32,0,55.93
1.37,94.71,47.36,7.31,56.15,0,55.41
2.52,59.59,74.63,4.71,51.92,1,68.18
3.51,66.17,42.99,6.85,87.0,1,66.54
2.59,61.33,81.18,4.93,94.56,0,65.77
1.8,67.75,57.47,5.39,62.21,0,50.24
2.09,53.47,40.01,5.09,85.08,1,50.77
5.15,75.95,68.11,4.91,93.82,1,77.08
2.86,53.38,42.58,8.13,90.77,0,59.49
4.28,90.02,55.19,5.43,50.97,1,70.82
5.53,61.69,78.88,8.64,97.38,0,84.49
7.21,77.0,43.45,8.85,62.6,0,75.18
1.35,94.0,86.16,6.86,60.35,0,72.99
8.19,82.54,40.21,4.72,43.75,1,61.15
6.65,76.65,53.58,5.87,69.17,1,71.11
1.74,66.22,80.75,7.99,46.54,1,71.05
8.86,66.65,57.39,5.84,54.91,1,74.36
9.29,83.47,45.6,4.44,59.02,0,73.39
1.55,99.71,59.81,6.78,88.53,1,68.93
3.49,83.09,54.87,8.23,92.53,0,66.65
8.26,77.89,86.35,7.98,58.15,0,86.64
7.73,86.53,57.23,4.88,91.52,0,78.95
2.66,73.26,83.39,7.36,91.43,1,74.63
2.88,53.01,89.05,5.1,85.88,0,68.57
4.33,78.11,63.86,5.09,48.8,0,60.01
5.36,97.88,90.05,8.37,81.42,1,95.74
6.56,58.77,60.75,5.25,96.7,0,70.63
4.32,84.5,93.02,5.32,80.95,1,88.19
5.16,60.05,44.91,4.0,59.9,1,63.74
7.73,76.79,77.79,8.35,70.03,1,86.61
1.33,54.83,67.16,7.96,78.74,0,57.52
3.27,72.52,61.32,7.14,70.63,1,59.1
7.42,87.81,74.8,7.75,47.2,1,77.11
9.06,67.38,78.71,4.76,58.72,1,76.12
5.61,83.25,40.24,6.29,88.14,1,74.92
5.79,89.77,49.18,5.76,91.69,0,72.49
1.96,96.36,79.22,4.47,48.24,1,69.41
5.03,61.73,76.65,6.43,97.14,0,67.08
5.79,69.97,93.13,8.6,59.73,1,80.15
3.18,57.62,81.86,4.2,79.74,0,69.94
3.42,99.62,92.29,5.46,85.11,1,84.88
4.4,96.35,78.64,5.04,88.72,0,78.06
1.18,77.0,56.39,5.19,96.74,1,64.65
3.9,92.1,45.8,8.54,58.78,0,72.37
2.9,76.05,83.0,6.34,91.51,0,73.87
3.95,81.18,75.43,6.33,47.9,0,69.46
2.08,54.46,42.65,7.8,82.3,1,57.83
9.01,87.76,59.8,4.77,84.52,0,90.43
6.34,56.39,92.62,6.44,80.66,0,72.91
7.11,91.3,67.52,6.15,55.14,0,79.9
8.1,89.1,63.8,6.98,92.38,0,84.28
5.49,85.44,65.17,9.0,50.13,1,78.9
1.78,51.81,51.49,7.85,43.22,0,48.46
5.83,65.16,60.28,5.99,83.05,0,69.96
6.28,63.16,60.34,8.14,68.53,0,74.79
7.71,68.01,42.88,4.85,90.95,1,83.26
4.88,54.38,82.22,4.15,63.0,0,70.78
2.15,96.85,62.91,5.02,50.1,0,58.41
3.55,77.69,85.22,5.7,90.19,0,74.64
4.27,65.28,86.77,6.55,72.93,0,73.05
6.81,69.85,51.66,7.08,51.35,1,62.22
6.14,72.36,76.15,8.55,83.22,0,80.46
4.2,80.03,65.98,6.55,70.67,0,72.96
9.88,75.78,88.41,6.51,76.26,1,88.9
6.45,95.97,51.87,4.25,67.65,1,76.2
3.14,74.85,77.28,4.17,89.72,1,73.53
1.92,99.61,73.43,6.76,89.77,0,71.07
2.38,92.57,56.24,6.19,82.56,1,67.24
3.21,60.43,47.51,8.2,46.32,0,62.38
2.45,96.53,75.84,4.8,90.33,1,77.65
2.68,55.82,80.62,4.12,80.26,0,64.34
3.57,90.87,57.36,6.25,81.82,1,69.86
2.56,69.03,75.47,5.19,61.78,0,63.97
9.07,93.9,61.73,4.25,92.76,1,83.3
1.72,93.4,79.23,7.62,83.52,0,66.26
5.72,90.3,50.96,4.56,46.76,0,72.21
4.69,89.5,88.96,7.04,64.47,0,81.62
9.84,65.23,55.81,5.41,93.18,0,80.86
2.01,54.05,60.23,4.87,42.83,0,50.4
4.58,70.15,43.2,5.9,97.68,0,61.16
9.73,58.68,46.13,8.01,80.75,0,75.57
8.79,84.75,68.37,5.96,77.88,0,77.08
8.35,67.3,54.72,7.75,56.23,1,84.67
3.32,98.78,85.95,4.63,54.93,0,68.38
2.54,82.05,40.81,7.86,96.52,0,59.18
7.02,91.12,60.85,5.18,57.9,1,73.77
9.36,56.63,58.55,7.39,86.53,0,84.44
6.01,93.1,41.06,6.83,63.59,1,69.86
6.14,96.14,46.84,8.65,48.36,0,66.26
3.52,74.35,62.75,5.94,40.64,1,67.65
7.93,80.31,67.11,4.33,72.66,1,81.68
2.68,88.24,62.24,4.1,98.55,0,69.22
3.91,58.74,69.2,8.13,62.15,1,72.14
4.83,75.13,72.73,6.62,61.43,0,81.28
5.57,69.93,40.55,7.88,60.65,0,71.75
3.18,57.32,65.53,5.17,71.23,0,58.05
2.03,68.38,92.99,5.73,66.44,0,76.36
6.5,53.41,68.55,4.15,92.79,1,74.59
3.6,51.29,77.26,8.81,70.33,0,72.05
6.23,56.76,57.15,7.34,70.47,1,63.74
2.39,98.16,82.57,8.67,48.3,1,76.07
5.33,77.48,82.51,5.33,98.96,0,77.28
5.79,98.29,68.67,7.06,55.0,0,80.32
1.47,71.62,93.68,7.39,44.4,0,72.81
4.03,65.59,46.91,5.59,79.79,0,51.66
2.21,75.31,40.93,8.24,75.72,1,60.54
1.57,71.98,82.36,8.74,64.91,0,74.47
9.91,55.28,84.39,8.42,65.33,1,89.06
3.9,82.04,46.61,7.7,87.1,0,70.0
8.29,60.8,54.61,5.39,51.74,0,69.24
3.29,80.98,40.97,5.41,89.22,0,61.62
7.13,82.51,56.13,8.82,78.92,0,77.96
7.84,57.6,82.52,4.05,65.14,1,72.99
6.36,53.07,68.49,7.58,67.48,1,69.49
5.24,89.04,59.15,7.53,55.4,0,74.06
4.71,72.99,60.45,7.11,85.13,1,73.04
4.14,52.91,40.07,8.95,70.77,1,60.44
9.37,99.74,56.49,5.56,59.25,0,78.67
8.48,52.89,75.56,5.7,75.76,0,76.9
9.69,84.75,93.58,4.39,99.74,1,100.0
2.12,99.18,86.59,6.21,66.12,1,75.34
7.58,61.96,41.3,5.31,95.24,1,64.67
9.45,57.11,89.42,5.72,60.7,1,88.99
2.63,56.07,83.08,8.17,43.28,0,64.8
1.6,65.16,82.92,8.68,52.25,0,67.03
7.67,55.05,65.19,4.93,65.12,1,78.59
6.17,84.61,61.89,5.86,53.18,0,70.7
8.58,53.11,56.66,8.64,40.01,1,74.02
2.26,75.47,43.61,4.31,94.9,1,53.99
8.16,99.83,52.55,4.46,90.63,0,78.16
2.81,90.7,53.56,4.81,84.54,1,68.26
2.47,80.76,66.62,6.98,50.07,1,59.41
2.48,65.31,81.11,4.75,47.22,0,62.66
8.33,81.19,66.06,8.84,44.06,0,80.46
6.99,76.35,43.18,6.23,83.44,1,71.88
5.71,71.3,92.68,6.51,95.73,1,91.24
4.23,56.54,91.85,5.23,65.83,0,73.09
8.89,94.33,83.19,6.35,47.15,1,94.73
4.53,72.49,94.52,7.31,70.74,1,78.51
8.35,59.73,69.95,7.76,60.93,0,78.62
4.95,68.39,92.95,7.77,62.49,0,79.96
4.39,70.71,44.16,6.89,77.28,0,58.23
5.16,91.38,60.11,8.52,83.12,0,81.3
3.71,86.68,52.4,8.09,46.64,0,73.38
7.73,88.47,50.77,7.79,42.14,0,72.71
5.52,50.55,47.74,4.28,99.66,1,66.02
3.09,70.81,74.23,4.03,53.96,1,64.35
9.1,74.07,82.97,5.06,43.23,0,77.82
4.46,50.96,71.81,7.32,51.39,0,57.86
5.89,62.99,48.08,6.06,42.34,1,58.77
9.16,88.01,84.61,6.01,63.51,1,85.09
6.62,56.86,74.98,8.42,88.14,1,88.83
2.05,76.77,61.35,8.48,60.47,0,63.28
9.46,60.76,77.08,8.55,66.65,0,84.21
6.65,50.61,54.29,5.57,80.54,1,71.74
4.01,62.06,58.99,7.46,70.53,0,60.37
2.25,98.79,90.46,5.36,91.69,0,75.78
8.15,90.08,55.98,4.95,91.96,0,79.47
6.58,97.98,65.85,4.92,40.59,1,78.68
5.8,74.39,88.96,5.71,86.68,1,86.09
9.05,55.49,78.92,6.15,67.64,0,81.7
8.1,77.4,43.42,8.15,99.33,0,78.36
2.37,72.72,48.1,4.6,68.99,0,56.14
3.81,92.22,40.43,7.67,99.21,0,69.31
3.24,54.9,74.7,6.66,85.27,0,63.87
7.7,74.41,64.62,5.44,54.92,1,75.32
1.3,57.5,47.39,6.46,72.3,0,47.59
6.13,66.23,92.69,5.5,99.53,0,84.51
7.86,86.87,69.13,6.98,91.45,0,83.49
8.89,73.8,53.3,6.17,45.84,1,83.93
4.08,68.79,67.53,4.82,82.38,1,69.02
8.39,69.72,77.38,4.58,60.73,0,72.37
2.0,72.97,44.19,6.73,40.42,1,52.68
8.62,89.25,55.11,8.51,64.21,1,85.16
2.15,94.6,84.38,5.72,54.09,1,79.21
4.58,97.77,65.28,7.67,89.13,1,78.35
8.18,89.35,70.06,7.29,60.24,1,78.48
2.35,65.77,63.8,8.66,89.65,1,73.06
3.06,84.41,42.41,8.1,40.04,0,52.02
7.5,71.88,49.12,6.83,58.47,1,69.59
7.48,62.73,64.5,7.29,54.47,1,73.89
6.77,92.04,51.51,8.49,54.01,0,73.92
7.25,51.92,42.75,6.0,44.09,0,61.83
5.88,95.09,86.4,5.63,51.23,0,77.37
3.27,73.07,93.97,4.05,73.33,0,71.65
4.11,81.86,83.62,8.13,57.48,1,78.68
2.63,82.97,86.96,8.0,65.04,1,77.98
9.18,94.76,53.31,4.52,62.61,1,79.12
6.25,81.83,92.83,6.88,92.55,1,92.44
4.61,80.7,50.83,6.32,94.32,0,72.45
5.16,53.33,92.33,4.59,69.58,1,76.77
9.53,75.92,94.72,8.9,59.81,1,98.29
2.38,57.51,79.14,5.07,46.41,0,53.4
6.28,86.87,93.96,4.34,97.2,1,89.24
5.55,75.61,71.32,6.97,43.61,1,74.89
6.5,84.01,54.27,7.69,57.86,1,77.19
1.16,52.08,64.03,4.16,57.88,1,49.89
8.85,54.24,72.65,7.29,59.22,0,75.58
9.39,85.82,44.02,6.66,49.86,0,71.22
6.09,53.6,74.23,4.52,86.99,0,73.89
7.27,53.56,93.96,4.86,47.35,0,80.31
9.3,50.61,50.46,6.84,78.09,0,71.38
7.37,97.83,83.59,5.48,47.43,1,88.2
2.37,86.88,89.93,8.69,44.23,1,76.95
6.19,67.66,91.9,8.09,94.57,0,86.99
6.46,64.83,92.81,8.92,51.41,0,81.84
4.82,67.49,68.68,5.3,89.28,0,73.9
7.63,88.73,93.75,8.85,72.68,1,97.11
9.41,83.07,81.65,6.16,44.67,0,93.75
9.33,59.26,48.89,5.74,97.33,1,74.09
5.06,58.71,66.23,4.25,54.82,1,66.24
2.02,54.92,79.51,4.26,91.58,1,63.88
9.86,83.02,53.6,7.46,50.13,1,77.26
8.55,88.22,75.23,6.29,91.24,0,88.43
2.12,63.25,76.66,5.13,40.79,1,61.15
9.29,51.05,48.95,7.07,70.71,1,85.44
8.83,54.11,71.08,5.26,86.17,0,77.86
5.67,98.39,82.44,6.89,96.09,1,84.93
6.32,64.77,67.44,5.8,94.55,1,78.33
4.59,88.46,40.67,8.12,89.18,1,62.66
1.49,81.23,40.5,8.1,93.29,0,59.93
4.02,69.1,59.64,6.39,51.95,1,64.17
8.23,60.28,90.94,5.75,57.05,1,86.82
1.04,56.07,52.58,5.81,57.34,0,53.43
4.0,80.75,74.89,8.03,62.62,0,71.79
4.58,88.73,52.21,5.64,63.6,1,66.88
5.84,82.2,57.69,5.05,72.67,1,68.63
9.28,76.52,86.64,4.42,49.59,0,78.39
4.12,52.1,80.09,6.33,81.47,1,73.7
4.12,98.42,45.25,6.41,50.05,0,57.86
7.64,89.94,63.58,8.2,58.62,1,80.77
5.07,64.64,41.6,5.11,70.2,0,54.37
3.02,99.0,66.45,5.9,87.79,1,76.83
5.07,80.09,76.43,8.04,84.37,0,87.37
2.27,79.12,46.52,8.12,78.73,0,56.56
2.59,87.4,55.89,5.92,49.35,0,52.38
5.49,90.59,61.88,6.3,72.82,0,73.36
4.77,82.82,90.57,5.52,45.25,0,75.32
9.23,56.4,94.63,8.66,62.64,1,92.75
4.26,66.91,42.47,4.59,64.81,1,55.73
6.23,96.4,81.86,8.67,42.39,0,82.05
6.69,61.23,60.44,7.42,56.44,1,73.19
1.12,68.61,61.59,6.66,97.34,1,68.82
6.97,71.6,81.48,4.16,97.22,1,75.28
2.6,71.97,90.51,6.38,61.14,1,71.84
9.65,80.65,92.3,6.04,42.59,1,90.86
2.34,97.15,71.74,4.81,50.75,1,63.53
4.73,62.03,59.64,7.28,63.53,0,72.49
1.77,56.08,83.32,8.86,96.87,1,72.07
9.97,59.87,53.81,6.81,48.47,1,75.06
5.52,94.35,71.02,7.57,85.81,1,85.98
6.36,82.29,59.72,4.34,46.52,0,64.38
1.6,64.3,76.11,6.09,98.88,1,62.09
7.75,90.8,53.22,4.58,62.9,1,72.75
2.89,93.07,50.54,7.06,86.51,1,73.22
9.08,92.33,90.5,8.69,60.56,0,93.62
2.85,95.95,45.6,7.31,77.66,1,63.49
2.72,62.61,67.83,4.38,51.52,0,61.06
1.33,87.75,52.15,5.77,48.76,1,55.78
5.25,73.03,42.14,6.75,96.28,0,65.01
6.08,92.1,41.98,6.02,95.06,0,72.2
1.59,86.42,49.64,8.17,93.25,0,67.96
7.98,88.82,87.67,8.07,77.53,1,100.0
5.08,82.81,55.54,7.06,88.5,0,75.87
5.72,58.87,92.28,5.87,44.14,0,78.43
4.97,77.25,71.99,5.28,60.09,0,67.97
4.61,99.23,64.01,4.53,58.82,0,65.28
6.04,96.87,71.9,5.77,78.14,1,82.26
2.4,52.16,68.42,6.07,61.36,1,61.1
2.64,58.24,81.73,7.38,48.91,1,62.94
8.76,56.59,55.54,7.29,75.79,1,76.25
9.52,86.3,59.42,4.35,88.86,0,83.3
4.36,90.89,89.18,5.98,62.93,1,82.13
3.44,60.68,92.06,4.91,47.94,0,69.52
6.8,75.29,89.09,4.78,51.8,1,81.34
4.68,92.04,63.07,8.14,54.25,1,72.49
1.23,86.64,82.92,4.21,57.99,1,64.38
2.41,77.11,66.2,6.1,78.57,0,60.74
7.44,79.52,67.36,4.84,76.06,1,85.9
6.93,75.42,51.26,8.4,81.76,1,77.26
1.24,64.88,72.51,6.79,61.75,1,62.01
3.0,78.25,50.24,5.16,89.44,0,58.16
3.08,84.44,58.24,6.51,52.25,1,76.32
7.05,93.67,87.03,7.66,68.14,1,86.22
1.18,81.81,51.39,8.79,88.06,0,61.97
1.94,88.06,43.91,5.1,50.81,0,54.76
8.2,58.0,43.8,8.43,46.59,1,71.46
2.61,73.08,91.74,8.67,93.02,1,86.04
6.87,50.47,67.88,8.58,60.58,1,82.23
3.14,62.33,62.52,7.18,81.03,0,67.15
1.89,86.32,84.6,7.15,41.52,0,64.34
3.19,99.59,85.97,6.02,81.4,0,78.19
7.5,54.96,58.27,7.76,58.97,1,73.86
8.7,70.07,78.15,6.66,43.34,0,87.88
8.47,90.0,82.41,7.39,76.59,1,87.0
4.57,60.2,76.01,6.14,54.45,0,72.27
7.01,77.75,48.34,7.66,63.21,0,71.69
2.84,86.65,88.17,8.12,44.83,0,77.56
3.64,80.8,69.65,4.73,48.83,1,65.65
9.07,59.4,55.54,8.16,57.88,1,73.54
1.12,67.77,63.39,6.7,45.39,1,60.4
1.77,89.19,42.07,8.22,94.65,1,68.14
2.87,77.71,47.03,6.16,40.36,0,58.36
1.24,50.26,82.11,5.9,69.03,1,63.03
2.63,88.05,40.0,8.58,47.39,0,55.77
6.25,51.77,62.91,5.26,58.46,1,60.41
4.79,87.29,68.74,8.22,95.56,1,85.44
9.03,60.12,43.0,6.42,49.7,0,68.44
8.36,97.9,93.52,6.57,97.95,0,93.89
4.08,68.4,52.44,5.54,52.35,1,58.23
3.33,66.35,56.73,6.87,84.49,1,64.57
4.42,57.44,56.72,5.63,72.8,0,55.81
6.31,65.28,52.67,4.2,93.07,0,64.26
3.41,93.83,40.08,5.36,73.24,0,55.82
6.62,99.82,80.11,4.03,72.07,0,79.76
4.68,68.42,93.18,8.89,51.73,0,76.15
5.97,72.43,52.34,8.83,49.97,1,63.96
4.93,86.1,76.47,5.98,94.99,1,89.6
3.65,94.31,80.8,7.64,59.67,1,83.69
9.54,79.65,86.66,5.73,62.32,1,86.93
7.87,69.58,63.24,7.36,85.59,0,80.69
2.26,70.63,56.66,8.03,60.33,0,62.37
8.82,84.78,57.89,8.73,97.12,0,91.69
5.39,50.16,79.19,6.0,84.28,1,71.59
9.05,80.98,84.92,7.92,75.85,0,96.17
8.2,67.77,49.99,5.33,92.85,0,71.28
4.83,89.71,60.4,8.95,42.98,1,67.68
1.2,54.65,89.61,4.13,55.42,1,64.7
3.42,79.41,84.37,7.02,67.9,1,81.83
5.87,74.05,94.17,7.3,53.62,0,91.8
6.7,82.12,81.48,7.44,84.63,0,80.75
3.32,53.24,61.63,4.6,95.15,1,66.49
2.25,79.0,72.49,8.69,65.43,1,70.02
8.51,78.07,76.36,4.91,60.53,0,83.2
9.86,78.03,44.32,7.11,97.69,1,77.21
5.73,80.17,69.95,5.11,66.69,0,67.47
2.55,83.82,79.01,5.54,69.34,1,68.38
3.45,90.25,49.2,6.73,61.1,1,65.48
1.17,63.49,82.93,6.09,94.57,1,67.39
9.23,91.25,72.11,4.8,74.14,0,87.52
2.06,74.91,92.37,4.85,85.73,0,76.71
6.19,53.85,42.33,6.09,88.71,1,67.9
3.47,52.93,54.59,7.79,60.51,0,65.59
5.99,66.71,73.09,8.49,66.02,1,80.19
6.86,89.24,56.31,4.42,90.91,1,72.11
8.47,85.38,79.29,5.97,61.8,0,89.67
2.86,89.43,81.75,4.5,87.64,0,71.12
1.1,75.86,45.64,4.08,96.46,0,58.13
2.23,72.01,68.26,7.31,77.39,0,72.74
9.1,57.37,67.99,7.01,84.5,1,85.04
8.87,66.41,60.31,4.82,88.31,0,71.04
6.38,71.7,91.31,5.17,90.7,0,79.93
6.4,54.43,85.51,4.12,63.7,1,79.85
6.99,61.03,78.35,8.17,43.08,1,77.14
2.58,79.91,79.29,8.87,64.11,1,75.42
9.23,86.78,65.39,4.68,80.43,1,87.43
4.77,99.92,90.65,5.16,67.02,0,84.21
4.45,96.66,78.2,8.34,84.94,0,84.19
5.67,82.13,80.09,8.63,61.42,1,81.96
1.42,71.06,87.39,6.1,78.08,1,69.97
2.5,81.81,55.07,4.25,51.19,0,59.37
7.64,89.28,84.39,4.2,84.96,0,87.75
1.75,55.92,50.74,6.87,72.74,0,53.49
6.43,70.5,58.99,5.96,52.24,0,71.93
3.21,91.99,58.46,4.14,57.51,0,61.2
4.5,69.19,93.82,6.92,84.92,1,79.64
3.6,78.59,87.11,4.06,68.96,1,70.59
4.2,79.39,78.56,7.94,52.96,1,71.81
7.47,59.22,79.99,5.53,98.04,1,82.43
3.67,68.11,70.91,4.2,82.91,0,71.3
6.1,66.73,92.09,6.94,97.43,1,84.63
5.28,51.31,67.29,5.99,65.63,0,66.61
6.97,51.21,60.93,8.87,68.51,0,69.95
9.43,91.58,48.97,6.72,93.88,0,82.16
7.59,63.65,83.24,5.38,71.5,0,73.6
2.93,75.9,80.39,7.55,82.44,0,73.46
1.28,64.94,61.14,5.36,55.13,0,53.12
3.36,97.03,41.39,8.52,66.8,0,67.26
6.36,62.96,86.14,5.87,47.41,1,77.45
1.46,71.48,40.63,6.75,52.36,0,45.36
5.47,93.64,78.7,4.25,40.06,1,78.67
6.37,92.1,93.36,6.13,42.36,1,85.42
4.01,59.31,64.07,8.16,98.64,0,72.14
7.94,90.13,52.92,8.03,54.54,0,76.58
1.96,72.91,78.77,5.12,79.8,1,66.63
1.68,74.15,84.94,5.13,90.35,1,72.87
7.55,56.67,70.05,8.09,73.04,1,81.73
5.46,54.03,93.19,8.65,49.19,1,72.44
7.2,86.4,42.84,4.48,83.69,0,67.38
4.91,74.82,67.76,6.25,76.02,0,70.72
3.22,71.84,79.51,5.69,83.88,0,72.38
8.37,86.48,87.45,8.35,86.18,1,100.0
8.19,88.28,49.86,4.42,98.52,0,73.91
7.25,57.95,84.0,5.06,74.41,1,77.87
3.45,80.51,70.4,7.76,60.5,0,68.03
6.31,56.77,61.81,4.26,78.91,1,65.78
4.25,87.57,47.24,6.46,44.11,0,59.59
1.82,82.85,87.59,6.21,93.84,0,78.26
9.26,97.83,48.65,5.67,47.16,1,73.1
2.23,53.45,57.04,5.97,59.67,1,57.85
9.55,52.85,55.95,6.65,88.94,1,72.54
5.01,64.11,87.93,4.81,75.84,1,74.47
